Data/Hora,Obs Fiscal,Status,Logradouro,Número,Bairro,Cidade,UF,CEP,Data Agenda,Data Execução,Nome,Concessionária,Tipo da Demanda,Prazo,Zona
2022-03-01 10:19:00,(43550) BAIRRO: COUTO FERNANDES PRÓXIMO A ESTAÇÃO DO METRÔ SIGESP 2022010300196,Finalizada,José Bastos,0,Couto Fernandes,Fortaleza,,60442051.0,,12/01/2022 00:00,Francisco Eugênio Sales Januário (SER XI),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 11
2022-03-01 10:22:00,"(43549) Gostaria aqui solicitar ao nosso secretário e ao chefe de gabinete que enviem uma aqui a equipe de limpeza para fazer os trabalhos de capinação e a limpeza do lixo, no Canal da Rua Umuarama no trecho entre as Ruas 23 de Junho com a Rua Londrina no bairro Granja Portugal. (Granja Lisboa)CEP: 60540454 Grato Agente de Cidadania Valmir Oliveira",Finalizada,Umuarama,0,Granja Lisboa,Fortaleza,,60540454.0,,04/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 10:31:00,(43551) REMOÇÃO DE ENTULHO NA RUA sargento Barbosa 367 CEP: 60540491,Finalizada,Sargento Barbosa,367,Granja Lisboa,Fortaleza,,60540491.0,,07/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 10:40:00,"(43552) REMOÇÃO DE ENTULHO NA Rua Coronel Fabriciano, 1989 - Granja Lisboa 60540-565",Finalizada,Coronel Fabriciano,1989,Granja Lisboa,Fortaleza,,60540565.0,,04/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 10:40:00,(43553) Coleta na av.cristal n.23 Siqueira 2 lagoa da viúva,Finalizada,Cristal,23,Siqueira,Fortaleza,,60732510.0,,04/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 5
2022-03-01 10:52:00,(43554) Remoção de entulhos na Rua Pedro Martins 512 Cep :60543-305,Finalizada,Pedro Martins,512,Bom Jardim,Fortaleza,,60543305.0,,04/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 10:59:00,"(43555) REMOÇÃO DE ENTULHO NA Rua Diana Kelly,30. CEP. 60543-298",Finalizada,Diana Kelly,30,Bom Jardim,Fortaleza,,60543298.0,,05/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 11:11:00,(43556) REMOÇÃO DE ENTULHO NA RUA LUIZ VIEIRA 440 CEP:60541-672 BOM SUCESSO,Finalizada,Luiz Vieira,440,Bonsucesso,Fortaleza,,60541672.0,,07/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 5
2022-03-01 11:59:00,"(43557) Árvore caída e ja cortada na Rua Madame Gonthier. Esquina com Recanto Tranquilo, Oregon",Finalizada,Recanto Tranquilo,144,Itaperi,Fortaleza,,60714350.0,,04/01/2022 00:00,José Raphael Martins Cardoso (URBFOR),Ecofor,Coleta de Poda,Excedido o Prazo,SER 8
2022-03-01 13:02:00,(43558) Coleta de lixo em área pública,Finalizada,Irineu de Sousa,499,Álvaro Weyne,Fortaleza,,60337180.0,,12/01/2022 00:00,Alexandra Mesquita Joca (SER I),Ecofor,Coleta de Ponto de Lixo Não Cadastrado,Excedido o Prazo,SER 1
